	cancer_type	tumor_normal_residuals_corr	prot_RNA_tumor_normal_ratios_corr	above_reg_line_ACSS1_Normal	above_reg_line_ACSS1_Tumor	above_reg_line_C1orf116_Normal	above_reg_line_C1orf116_Tumor	above_reg_line_CARD9_Normal	above_reg_line_CARD9_Tumor	above_reg_line_CDKN2A_Normal	above_reg_line_CDKN2A_Tumor	above_reg_line_CFI_Normal	above_reg_line_CFI_Tumor	above_reg_line_DYNC1LI1_Normal	above_reg_line_DYNC1LI1_Tumor	above_reg_line_ECH1_Normal	above_reg_line_ECH1_Tumor	above_reg_line_ECT2_Normal	above_reg_line_ECT2_Tumor	above_reg_line_FAM57A_Normal	above_reg_line_FAM57A_Tumor	above_reg_line_GPCPD1_Normal	above_reg_line_GPCPD1_Tumor	above_reg_line_HPS3_Normal	above_reg_line_HPS3_Tumor	above_reg_line_IFT43_Normal	above_reg_line_IFT43_Tumor	above_reg_line_IMPDH1_Normal	above_reg_line_IMPDH1_Tumor	above_reg_line_IMPDH2_Normal	above_reg_line_IMPDH2_Tumor	above_reg_line_MBNL2_Normal	above_reg_line_MBNL2_Tumor	above_reg_line_MFSD4A_Normal	above_reg_line_MFSD4A_Tumor	above_reg_line_NELL1_Normal	above_reg_line_NELL1_Tumor	above_reg_line_PPM1L_Normal	above_reg_line_PPM1L_Tumor	above_reg_line_RIPK3_Normal	above_reg_line_RIPK3_Tumor	above_reg_line_RNASET2_Normal	above_reg_line_RNASET2_Tumor	above_reg_line_SLC1A5_Normal	above_reg_line_SLC1A5_Tumor	above_reg_line_TALDO1_Normal	above_reg_line_TALDO1_Tumor	above_reg_line_THADA_Normal	above_reg_line_THADA_Tumor	above_reg_line_TXLNG_Normal	above_reg_line_TXLNG_Tumor	above_reg_line_USP7_Normal	above_reg_line_USP7_Tumor	tumor_normal_residual_diff_ACSS1	tumor_normal_residual_diff_C1orf116	tumor_normal_residual_diff_CARD9	tumor_normal_residual_diff_CDKN2A	tumor_normal_residual_diff_CFI	tumor_normal_residual_diff_DYNC1LI1	tumor_normal_residual_diff_ECH1	tumor_normal_residual_diff_ECT2	tumor_normal_residual_diff_FAM57A	tumor_normal_residual_diff_GPCPD1	tumor_normal_residual_diff_HPS3	tumor_normal_residual_diff_IFT43	tumor_normal_residual_diff_IMPDH1	tumor_normal_residual_diff_IMPDH2	tumor_normal_residual_diff_MBNL2	tumor_normal_residual_diff_MFSD4A	tumor_normal_residual_diff_NELL1	tumor_normal_residual_diff_PPM1L	tumor_normal_residual_diff_RIPK3	tumor_normal_residual_diff_RNASET2	tumor_normal_residual_diff_SLC1A5	tumor_normal_residual_diff_TALDO1	tumor_normal_residual_diff_THADA	tumor_normal_residual_diff_TXLNG	tumor_normal_residual_diff_USP7
C3L-00004	ccrcc		0.005287448845855486																	True	True													True	True							True	False																										0.5105588178424498				-0.002234523249087794					
C3L-00010	ccrcc		0.025092505705743878																	True	True													False	False							False	True																										0.12064777741580157				-0.3215740682804312					
C3L-00011	ccrcc		0.059308655970149116																	True	True													True	True							True	True																										-0.1614456214928766				0.3448122320662589					
C3L-00026	ccrcc		0.04896258166258764																	True	True													True	True							False	False																										0.48198854375498545				0.2012967495344698					
C3L-00079	ccrcc		-0.14156401793472412																	True	True													False	False							False	False																										-0.9841028599166111				-0.7813350892626062					
C3L-00088	ccrcc	0.2714285714285714	-0.0025093154698673814																	True	True													False	True							True	False																										-0.27520581854626697				0.05297313445713342					
C3L-00096	ccrcc		0.009792312763777048																	True	True													False	True							True	True																										-0.017266686115218505				-0.21416792002803287					
C3L-00097	ccrcc		0.0757569445381247																	True	True													False	False							False	False																										0.1210041323017731				0.0514542641070367					
C3L-00103	ccrcc		0.08584245000564311																	True	False													True	True							True	False																			0.16297063564587377											-0.019131678416892103					
C3L-00360	ccrcc	-0.4411764705882353	0.028530418312669757																	False	True													True	False							False	False																			1.1294445715286454							-0.2344311209016969				-0.372114031784192					
C3L-00369	ccrcc		0.020967269730650218																	True	True													False	False							False	True																										0.5761488248136611				-0.0878505525422794					
C3L-00416	ccrcc		-0.04125602435046181																	False	False													True	True							False	False																			0.010400930765786305											-0.3095347854218033					
C3L-00418	ccrcc		0.06108710103758912																	True	True													False	True							True	False																										-0.4428799972716959				0.24409834094908922					
C3L-00447	ccrcc		0.08801830538019566																	False	True													True	True							False	True																			0.19047873486828698											-0.2614448554252511					
C3L-00448	ccrcc		0.06527694610468682																	True	True													True	True							False	True																														-0.1136792280850762					
C3L-00561	ccrcc		0.03126706454906626																	True	True													True	True							False	False																										0.07653109364404492				-0.21847532415685778					
C3L-00581	ccrcc		0.030664121185593213																	True	True													True	True							False	False																														0.098853486388905					
C3L-00583	ccrcc	0.2357142857142857	0.10828835629826895																	True	True													True	False							False	True																										-0.3665637129806901				0.07806478692550045					
C3L-00606	ccrcc		-0.07827924821137593																	True	True													True	False							False	False																										-0.3033119437185723				-0.10959599716405122					
C3L-00607	ccrcc		-0.019298734655036898																	True	True													False	True							True	False																										0.3050743446028472				-0.09623449509295659					
C3L-00814	ccrcc		0.07889852521281444																	True	True													False	True							True	False																										-0.6590916118454389				-0.0480252856422311					
C3L-00902	ccrcc		0.010599791071853161																	True	True													True	False							True	True																										-0.44578878042369524				0.0385782939788025					
C3L-00907	ccrcc		0.008974447557210257																	True	True													True	True							False	False																														-0.22970952070240339					
C3L-00908	ccrcc		0.11436794340819839																	True	True													False	False							True	False																										-0.11473284834883501				0.2054260048363516					
C3L-00910	ccrcc		0.06348876781135548																	True	True													True	False							False	True																										-0.21900635692799258				-0.06822431470894551					
C3L-00917	ccrcc		0.049778135983587476																	False	True													True	False							False	False																			0.4215845463579098							0.034286768185428085				-0.6030335085969841					
C3L-01281	ccrcc		-0.07296226738013312																	True	True													True	True							False	False																														-0.14411552639825512					
C3L-01286	ccrcc		0.05606129615776794																	True	True													True	True							False	False																														0.0060105675325208					
C3L-01287	ccrcc		0.15272878992396446																	True	True													True	False							False	False																										-0.4171612827761623				0.023055947254100595					
C3L-01302	ccrcc	0.1323529411764706	0.11057863059005033																	False	False													False	True							True	True																			0.1068571404894923							-0.0437935549217876				0.1868587786046764					
C3L-01313	ccrcc		0.1214382282883453																	True	True													True	True							False	True																														-0.1389712721125746					
C3L-01603	ccrcc		0.05976117198076423																	True	True													True	False							True	False																										0.8472455901756545				0.0207100571147405					
C3L-01607	ccrcc		-0.11252779654835417																	True	True													True	True							True	True																														-0.5038895630662247					
C3L-01836	ccrcc		0.08477933707877192																	True	True													True	False							False	False																										-0.15627500608781875				0.35846288672770565					
C3L-01861	ccrcc		-0.026307704798844693																	True	True													False	True							False	False																										0.7097145708947147				-0.2989413056827843					
C3L-01882	ccrcc		0.004731908754199895																	True	True													False	True							False	False																										0.3872865348071391				-0.2037907847578728					
C3L-01885	ccrcc		0.05002032839417645																	True	True													True	True							True	True																										0.374721811259877				0.0196407762310434					
C3N-00148	ccrcc		0.10671039435628284																	False	False													True	True							True	False																			0.0043375914281701955											-0.07032025373748349					
C3N-00149	ccrcc		-0.11628468459332854																	True	True													True	True							False	True																														0.1908038845346629					
C3N-00150	ccrcc		0.07688369319055915																	True	True													False	True							False	False																										0.1306867231698381				0.0017540998027118088					
C3N-00168	ccrcc		0.0446570219548187																	True	True													True	True							True	False																										-0.9554279739061387				-0.3465712846873195					
C3N-00177	ccrcc		0.0556137059397356																	True	True													True	False							True	False																										0.07712811026403738				-0.1011196132722032					
C3N-00194	ccrcc		0.055327057178558924																	True	True													False	True							True	False																										0.6275344562357701				0.014705964674071897					
C3N-00242	ccrcc		0.04715592222776592																	True	True													False	False							True	True																										-0.3233132788028496				-0.046318225603194					
C3N-00244	ccrcc	-0.07142857142857142	0.07188333914332949																	True	True													True	False							False	False																										0.1392581141646258				0.1225744624612676					
C3N-00310	ccrcc		-0.012163959353295608																	True	True													False	False							True	False																										-0.04334139764823591				-0.0486779240896798					
C3N-00314	ccrcc		0.11452539170403322																	True	True													False	True							True	True																										-0.6608348652660656				-0.16684828219102577					
C3N-00390	ccrcc		0.08270539823473651																	True	True													False	True							False	True																										0.21782788658464863				-0.040895862579919104					
C3N-00435	ccrcc		0.08817136754513133																	True	True													True	True							True	True																										0.40488664831092297				0.1767971195747352					
C3N-00491	ccrcc		0.0024963818757567095																	True	True													False	False							False	True																										-1.4860877839347184				-0.3579190837841899					
C3N-00494	ccrcc		-0.023249389280783128																	True	True													False	True							False	True																										-0.4141337705483771				-0.08209270591829979					
C3N-00495	ccrcc		-0.0220688377516312																	True	True													True	True							True	False																														-0.5522226006344572					
C3N-00573	ccrcc		0.03915601710746441																	True	True													True	True							True	False																														0.4562596385473088					
C3N-00577	ccrcc		-0.07554255372292712																	True	True													True	True							False	True																										-0.14841858461507162				-0.2982500584593597					
C3N-00646	ccrcc		0.1270710996414511																	True	True													False	False							True	True																										0.2735847298267261				-0.1260150919074164					
C3N-00733	ccrcc		0.1228545327145319																	True	True													True	True							False	False																										0.6753666598131552				0.14998033468188768					
C3N-00831	ccrcc		0.07994310871696202																	True	True													True	True							True	False																														0.1256466642638782					
C3N-00834	ccrcc		0.07020127952042626																	True	False													True	False							True	False																			0.4096599978392587							-0.35665647609410245				-0.10033109548673147					
C3N-00852	ccrcc		0.0788615227080802																	True	True													True	True							True	True																														-0.36343795520147637					
C3N-01175	ccrcc		0.12365636661579034																	True	True													True	True							True	False																										1.1991123642790849				0.0384073148237477					
C3N-01176	ccrcc		0.07747722774873865																	False	False													True	True							False	False																			0.1258094590455201											0.3352320097540683					
C3N-01178	ccrcc	0.13214285714285715	0.027029325603633327																	True	True													True	True							True	False																										0.04067174876135482				0.2793303642945549					
C3N-01179	ccrcc		0.07747383373025644																	True	True													False	False							True	True																										0.581043839423515				0.09193223020157948					
C3N-01200	ccrcc		-0.1326734353476032																	True	True													False	False							True	True																										-0.5374334122897397				-0.5400101771813081					
C3N-01214	ccrcc		0.03413770598639857																	True	True													False	True							False	True																			-0.19773603379075122							-0.4770441627879374				0.020935815318499695					
