	cancer_type	tumor_normal_residuals_corr	prot_RNA_tumor_normal_ratios_corr	above_reg_line_ACSS1_Normal	above_reg_line_ACSS1_Tumor	above_reg_line_C1orf116_Normal	above_reg_line_C1orf116_Tumor	above_reg_line_CARD9_Normal	above_reg_line_CARD9_Tumor	above_reg_line_CDKN2A_Normal	above_reg_line_CDKN2A_Tumor	above_reg_line_CFI_Normal	above_reg_line_CFI_Tumor	above_reg_line_DYNC1LI1_Normal	above_reg_line_DYNC1LI1_Tumor	above_reg_line_ECH1_Normal	above_reg_line_ECH1_Tumor	above_reg_line_ECT2_Normal	above_reg_line_ECT2_Tumor	above_reg_line_FAM57A_Normal	above_reg_line_FAM57A_Tumor	above_reg_line_GPCPD1_Normal	above_reg_line_GPCPD1_Tumor	above_reg_line_HPS3_Normal	above_reg_line_HPS3_Tumor	above_reg_line_IFT43_Normal	above_reg_line_IFT43_Tumor	above_reg_line_IMPDH1_Normal	above_reg_line_IMPDH1_Tumor	above_reg_line_IMPDH2_Normal	above_reg_line_IMPDH2_Tumor	above_reg_line_MBNL2_Normal	above_reg_line_MBNL2_Tumor	above_reg_line_MFSD4A_Normal	above_reg_line_MFSD4A_Tumor	above_reg_line_NELL1_Normal	above_reg_line_NELL1_Tumor	above_reg_line_PPM1L_Normal	above_reg_line_PPM1L_Tumor	above_reg_line_RIPK3_Normal	above_reg_line_RIPK3_Tumor	above_reg_line_RNASET2_Normal	above_reg_line_RNASET2_Tumor	above_reg_line_SLC1A5_Normal	above_reg_line_SLC1A5_Tumor	above_reg_line_TALDO1_Normal	above_reg_line_TALDO1_Tumor	above_reg_line_THADA_Normal	above_reg_line_THADA_Tumor	above_reg_line_TXLNG_Normal	above_reg_line_TXLNG_Tumor	above_reg_line_USP7_Normal	above_reg_line_USP7_Tumor	tumor_normal_residual_diff_ACSS1	tumor_normal_residual_diff_C1orf116	tumor_normal_residual_diff_CARD9	tumor_normal_residual_diff_CDKN2A	tumor_normal_residual_diff_CFI	tumor_normal_residual_diff_DYNC1LI1	tumor_normal_residual_diff_ECH1	tumor_normal_residual_diff_ECT2	tumor_normal_residual_diff_FAM57A	tumor_normal_residual_diff_GPCPD1	tumor_normal_residual_diff_HPS3	tumor_normal_residual_diff_IFT43	tumor_normal_residual_diff_IMPDH1	tumor_normal_residual_diff_IMPDH2	tumor_normal_residual_diff_MBNL2	tumor_normal_residual_diff_MFSD4A	tumor_normal_residual_diff_NELL1	tumor_normal_residual_diff_PPM1L	tumor_normal_residual_diff_RIPK3	tumor_normal_residual_diff_RNASET2	tumor_normal_residual_diff_SLC1A5	tumor_normal_residual_diff_TALDO1	tumor_normal_residual_diff_THADA	tumor_normal_residual_diff_TXLNG	tumor_normal_residual_diff_USP7
C3L-00004	ccrcc	-0.07264751570325396	0.005287448845855486	True	False	True	False	True	True							False	True	True	True	True	True							False	True					True	True							True	False			True	False					True	False	-0.0973506631860932	0.23622672613228463					-0.33581926879049623						0.057013467303559384			0.5105588178424498				-0.002234523249087794		-0.014104544031189492			-0.044223967686311295
C3L-00010	ccrcc	-0.024318553054350836	0.025092505705743878	False	False	True	False	False	True							False	False	True	True	True	True							False	False					False	False							False	True			True	False					True	False	0.13357942929642452	-0.13514407306414333	0.0710470110150586				0.36041102957913707						-0.0610648804266436			0.12064777741580157				-0.3215740682804312		-0.013660302886007697			-0.09239756771848008
C3L-00011	ccrcc	-0.0650590460225419	0.059308655970149116	False	True	False	True	False	False							True	True	True	False	True	True							False	False					True	True							True	True			False	False					False	False	-0.2360492152926988	-0.00463450743035651	-0.13554655763766232				-0.1133638324971994	-0.029735221879526486					0.0370737950716404			-0.1614456214928766				0.3448122320662589		0.0737649548703611			-0.031311720418399094
C3L-00026	ccrcc	-0.22197931906834076	0.04896258166258764	False	True	True	True	False	True							False	True	True	False	True	True							True	True					True	True							False	False			True	False					True	False	0.641067688280097	-0.03319553802198799	0.0631798161287				0.19601137497959775	0.0478585285929948					-0.20471489759789888			0.48198854375498545				0.2012967495344698		0.1945133938975361			-0.1197289677867632
C3L-00079	ccrcc	0.1840290023036086	-0.14156401793472412	False	True	False	True	True	True							False	False	True	False	True	True							True	True					False	False							False	False			False	False					True	True	-0.6039419269339017	0.16689360599271508					-0.36130352728007264	-0.2019550987677412					-0.048765062147433175			-0.9841028599166111				-0.7813350892626062		0.016352529433376103			-0.05651566659002391
C3L-00088	ccrcc	-0.19548683752487375	-0.0025093154698673814	False	False	True	False	True	True							True	True	True	True	True	True							True	True					False	True							True	False			False	False					False	True	-0.0841095115810804	0.31867807305683404					-0.16014840842146738						0.19030225955299232			-0.27520581854626697				0.05297313445713342		-0.05777347259854121			-0.1113719691162277
C3L-00096	ccrcc	0.08150686334400568	0.009792312763777048	True	False	False	True	True	True							False	False	True	True	True	True							False	True					False	True							True	True			False	True					False	False	-0.12184964484440608	-0.148591920254439					0.2803262769669345						0.4380869155447542			-0.017266686115218505				-0.21416792002803287		0.0727035625840338			-0.0988025911782156
C3L-00097	ccrcc	-0.1715910428270424	0.0757569445381247	False	True	False	False	True	True							True	True	True	True	True	True							False	False					False	False							False	False			False	True					False	False	0.243693712857297	0.3189292089863777					0.5879805030071511						0.033111822519269606			0.1210041323017731				0.0514542641070367		0.0257812434403042			0.11451758742004509
C3L-00103	ccrcc	-0.0726226121298865	0.08584245000564311	False	False	True	False	False	False							True	False	False	True	True	False							False	True					True	True							True	False			True	True					True	False	0.18537938126208092	0.3229944604367637	-0.014285849251207697				-0.0017860397054077076	-0.1720111548938785	0.16297063564587377				0.09654384785293918							-0.019131678416892103		-0.160472456839244			0.0913239707093794
C3L-00360	ccrcc	-0.13999860241675016	0.028530418312669757	True	False	True	False	True	True							False	False	False	False	False	True							False	True					True	False							False	False			True	True					True	False	-0.14067130521436583	-0.5865530747724479					0.0859145502325266	0.2390644954044306	1.1294445715286454				0.20506755893612919			-0.2344311209016969				-0.372114031784192		0.054108014871888585			-0.0656672552645586
